0.00 	 0.00
9.00 	 8.08
17.77 	 15.63
26.32 	 22.65
34.67 	 29.18
42.82 	 35.23
50.80 	 40.81
58.61 	 45.94
66.26 	 50.64
73.76 	 54.92
81.12 	 58.78
88.34 	 62.25
95.45 	 65.32
102.43 	 68.01
109.30 	 70.32
116.06 	 72.26
122.71 	 73.85
129.27 	 75.07
135.73 	 75.95
142.10 	 76.48
148.37 	 76.67
154.57 	 76.53
160.67 	 76.06
166.70 	 75.26
172.64 	 74.14
178.51 	 72.70
184.29 	 70.95
190.00 	 68.89
195.63 	 66.53
201.18 	 63.86
206.66 	 60.90
212.06 	 57.65
217.39 	 54.12
222.64 	 50.30
227.81 	 46.20
232.91 	 41.84
237.93 	 37.20
242.88 	 32.31
247.74 	 27.16
252.54 	 21.76
257.25 	 16.11
261.88 	 10.23
266.44 	 4.11
270.92 	 -2.23
275.33 	 -8.80
279.65 	 -15.58
283.90 	 -22.57
288.07 	 -29.77
292.16 	 -37.16
296.18 	 -44.75
300.12 	 -52.52
