0.00 	 0.00
9.08 	 8.16
18.08 	 15.90
26.99 	 23.24
35.83 	 30.19
44.58 	 36.74
53.26 	 42.89
61.87 	 48.67
70.40 	 54.06
78.87 	 59.07
87.26 	 63.71
95.59 	 67.98
103.86 	 71.89
112.06 	 75.43
120.21 	 78.61
128.29 	 81.44
136.31 	 83.91
144.28 	 86.03
152.19 	 87.81
160.04 	 89.23
167.84 	 90.32
175.59 	 91.06
183.29 	 91.46
190.93 	 91.53
198.52 	 91.27
206.06 	 90.67
213.55 	 89.74
221.00 	 88.49
228.39 	 86.91
235.73 	 85.01
243.03 	 82.79
250.27 	 80.25
257.47 	 77.39
264.61 	 74.22
271.71 	 70.74
278.76 	 66.94
285.76 	 62.84
292.71 	 58.44
299.61 	 53.74
306.47 	 48.73
313.27 	 43.43
320.02 	 37.83
326.72 	 31.95
333.37 	 25.77
339.97 	 19.31
346.52 	 12.57
353.01 	 5.54
359.46 	 -1.76
365.85 	 -9.34
372.19 	 -17.18
378.48 	 -25.30
